Book Name,Total Tokens,Unique Tokens,Min Colors
AbsalomAbsalom.txt,49,38,3
AbsalomAbsalom.txt,45,38,3
AbsalomAbsalom.txt,56,45,3
AbsalomAbsalom.txt,21,20,3
AbsalomAbsalom.txt,81,56,3
AbsalomAbsalom.txt,105,69,3
AbsalomAbsalom.txt,41,33,3
AbsalomAbsalom.txt,59,47,3
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,31,26,3
AbsalomAbsalom.txt,36,28,3
AbsalomAbsalom.txt,18,18,2
AbsalomAbsalom.txt,22,21,3
AbsalomAbsalom.txt,32,29,3
AbsalomAbsalom.txt,79,58,3
AbsalomAbsalom.txt,166,116,3
AbsalomAbsalom.txt,23,18,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,22,21,3
AbsalomAbsalom.txt,35,31,3
AbsalomAbsalom.txt,156,105,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,27,23,3
AbsalomAbsalom.txt,47,40,3
AbsalomAbsalom.txt,27,25,3
AbsalomAbsalom.txt,49,41,3
AbsalomAbsalom.txt,101,69,3
AbsalomAbsalom.txt,24,22,3
AbsalomAbsalom.txt,110,72,3
AbsalomAbsalom.txt,148,103,3
AbsalomAbsalom.txt,104,68,3
AbsalomAbsalom.txt,116,81,3
AbsalomAbsalom.txt,71,48,3
AbsalomAbsalom.txt,52,43,3
AbsalomAbsalom.txt,31,29,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,26,20,3
AbsalomAbsalom.txt,20,18,3
AbsalomAbsalom.txt,7,6,2
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,71,58,3
AbsalomAbsalom.txt,38,27,3
AbsalomAbsalom.txt,48,38,3
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,42,33,3
AbsalomAbsalom.txt,84,66,3
AbsalomAbsalom.txt,99,71,3
AbsalomAbsalom.txt,99,66,3
AbsalomAbsalom.txt,151,101,4
